Hall,Room,Room Type,Bed,Dimensions(ft squared),Reviews,Rating (out of 5),Who's doing
Battell South,BTS 232,Double,1,173,Inconsistent elevator operation.,3,Siri
Battell South,BTS 233,Double,1,173,Proximity to local attractions.,4,Siri
Battell South,BTS 234,Double,1,173,Insufficient natural light in common areas.,2,Siri
Battell South,BTS 236,Double,1,173,Peaceful and serene surroundings.,5,Siri
Battell South,BTS 237,Double,1,173,Limited electrical outlets in the room.,1,Siri
Battell South,BTS 238,Double,1,173,Good water pressure in showers.,4,Siri
Battell South,BTS 239,Double,1,173,Noisy construction nearby.,2,Siri
Battell South,BTS 242,Double,1,173,Helpful and accommodating management.,5,Siri
Battell South,BTS 245,Double,1,173,Clean and organized laundry room.,4,Siri
Battell South,BTS 246,Double,1,173,Slow internet speeds.,3,
Battell South,BTS 247,Double,1,173,Convenient transportation options nearby.,4,
Battell South,BTS 248,Double,1,173,Uncomfortable mattress.,2,
Battell South,BTS 250,Double,1,195,Love the bathtubs,5,
,,,,,,3.428571429,<= average rating
